"region","age","mean_zscore"
"ISM",7750,-2.97511019995703
"ISM",7850,-2.29552009013996
"ISM",7950,-2.61053493133546
"SAM",50,0.185360784502194
"SAM",150,-0.00845375110850888
"SAM",250,-0.687781433503548
"SAM",350,-0.761709687197367
"SAM",450,-0.783064307986975
"SAM",550,-0.437054046730557
"SAM",650,-0.341355323153049
"SAM",750,-0.623388246926777
"SAM",850,-0.511502928923194
"SAM",950,-1.01717811605806
"SAM",1050,-0.782003778714919
"SAM",1150,-0.805119481932949
"SAM",1250,-1.08344100180655
"SAM",1350,-0.585179223033207
"SAM",1450,-1.10716681376898
"SAM",1550,-0.589773850285258
"SAM",1650,-0.50813567462457
"SAM",1750,-0.511649680943784
"SAM",1850,-0.279106597038103
"SAM",1950,-0.573556764238897
"SAM",2050,-0.535587941486037
"SAM",2150,-0.277099183223249
"SAM",2250,-0.216165934030446
"SAM",2350,-0.453197344188607
"SAM",2450,-0.644461004454856
"SAM",2550,-0.662529292648715
"SAM",2650,-0.726130802735275
"SAM",2750,-0.417918947863987
"SAM",2850,-0.577177810683369
"SAM",2950,-0.60061454770364
"SAM",3050,-0.484752601273337
"SAM",3150,-0.278725277665682
"SAM",3250,-0.902298181354572
"SAM",3350,-0.294996153185722
"SAM",3450,-0.393230628931493
"SAM",3550,-0.445696236416183
"SAM",3650,-0.37286638588558
"SAM",3750,-0.151434792498286
"SAM",3850,-0.0954280656801907
"SAM",3950,-0.497072685060111
"SAM",4050,-0.438656139153595
"SAM",4150,-0.235718690518329
"SAM",4250,0.199149914865347
"SAM",4350,0.450075520232349
"SAM",4450,0.304745946107852
"SAM",4550,0.347032563618541
"SAM",4650,0.36995441019101
"SAM",4750,0.863053503828798
"SAM",4850,0.381615164904286
"SAM",4950,0.466452852520812
"SAM",5050,0.126192206511754
"SAM",5150,0.326832361590835
"SAM",5250,0.264099110426057
"SAM",5350,0.49136504131352
"SAM",5450,0.309647801399406
"SAM",5550,0.275560468050551
"SAM",5650,-0.424257915099581
"SAM",5750,-0.209331406422022
"SAM",5850,0.424446357801997
"SAM",5950,0.548876692350265
"SAM",6050,0.643240576837297
"SAM",6150,0.856077083857211
"SAM",6250,1.07198844136531
"SAM",6350,1.21538397281275
"SAM",6450,1.43809390331008
"SAM",6550,0.852222088943457
"SAM",6650,1.3115211988265
"SAM",6750,1.49939576044347
"SAM",6850,1.24953220605148
"SAM",6950,1.39895268842953
"SAM",7050,1.1670471998482
"SAM",7150,1.69970291963312
"SAM",7250,1.78528038328822
"SAM",7350,0.557442969428358
"SAM",7450,0.555760331096672
"SAM",7550,0.780843231608889
"SAM",7650,0.656275627593943
"SAM",7750,0.83418926555929
"SAM",7850,0.868917181641421
"SAM",7950,0.492361089770108
"EAM",50,2.2503877153051
"EAM",150,1.91566978385959
"EAM",250,2.26717240155145
"EAM",350,2.1346322901961
"EAM",450,2.11791367560666
"EAM",550,2.16970409027458
"EAM",650,2.25875197945194
"EAM",750,2.10909581488327
"EAM",850,2.21740014861793
"EAM",950,2.25163949105604
"EAM",1050,2.13809913799287
"EAM",1150,2.10801497013957
"EAM",1250,2.22178749712057
"EAM",1350,2.03808945375498
