"region","win_end","med","Q1","Q3","age"
"CAM",0,-0.0179427242724044,-0.104117463928271,0.0449162912625359,-50
"CAM",50,-0.0248919811664867,-0.0903171730110642,0.225413389811978,0
"CAM",100,0.00738437251887296,-0.0501483323732028,0.144950800584634,50
"CAM",150,0.0122694060152044,-0.0291272378681378,0.169138865169295,100
"CAM",200,-0.0417710799520699,-0.0886413163224911,0.114524902199423,150
"CAM",250,-0.0390076952057444,-0.0872902561009245,0.0654145268370661,200
"CAM",300,-0.0477550438573089,-0.071861338372016,0.017977286143054,250
"CAM",350,0.0476299986846617,-0.0720185968436542,0.1415972136336,300
"CAM",400,0.0113355229536505,-0.0203729173499294,0.194081049066456,350
"CAM",450,0.0211065832968078,-0.0567029133274479,0.147760362620757,400
"CAM",500,-0.0113853153891826,-0.0397162047352995,0.133159802928506,450
"CAM",550,-0.0346669205374149,-0.0751621129755035,0.083358322267355,500
"CAM",600,-0.0668003740551221,-0.0860690823197837,0.0549274945287987,550
"CAM",650,0.0239616713991623,-0.0179850381767741,0.0980566724799198,600
"CAM",700,-0.000985246601048873,-0.0390916224995972,0.101323021449907,650
"CAM",750,0.0562291657238913,-0.0501724003389183,0.137216505557398,700
"CAM",800,0.0667164500040959,-0.0230509303731669,0.116137913974957,750
"CAM",850,0.0792366246490955,-0.0154066690186972,0.170489269972545,800
"CAM",900,0.039324009162023,-0.0335824481933669,0.257377343980119,850
"CAM",950,0.0491194898390552,-0.0466080848921274,0.160989581460668,900
"CAM",1000,0.0422484459202631,-0.0378646187235227,0.0873722063640213,950
"CAM",1050,0.031571133119524,-0.030471907421462,0.227555805051848,1000
"CAM",1100,0.108105449233632,-0.00689305298742043,0.286276070465849,1050
"CAM",1150,0.0536429391651441,0.0246373537074108,0.17343246260903,1100
"CAM",1200,0.0724772423054836,-0.0361207545207089,0.213854708377148,1150
"CAM",1250,0.0827920562308157,0.0236264992904457,0.230770195207833,1200
"CAM",1300,0.0565729721027102,-0.0113844790617452,0.115197774493338,1250
"CAM",1350,0.0725710373144208,0.00700724212620928,0.107023550510745,1300
"CAM",1400,0.142222667172536,0.0890402215029972,0.183211891638438,1350
"CAM",1450,0.0359776200944365,0.0101564513002753,0.202977172519666,1400
"CAM",1500,0.0536841391102331,-0.00806602344769822,0.181471533842609,1450
"CAM",1550,0.0185736526261865,-0.0251570505915874,0.0616472613115071,1500
"CAM",1600,0.0183053773021093,-0.00484750964424067,0.105745758888437,1550
"CAM",1650,-0.0158275146807598,-0.0477122304132523,0.134680726917592,1600
"CAM",1700,0.041688829231131,-0.0451400872271884,0.176955187169148,1650
"CAM",1750,0.0750900394292768,0.0598622755746683,0.185470362860881,1700
"CAM",1800,0.0743496854738385,0.0147259796040713,0.152438701983568,1750
"CAM",1850,0.0358310123415936,-0.017132430411847,0.111561897056718,1800
"CAM",1900,-0.00452531028259712,-0.0649559261275823,0.0865111563872402,1850
"CAM",1950,-0.0162408638306346,-0.0541937574708164,0.08568571833108,1900
"CAM",2000,0.00904342060771109,-0.00550428213502797,0.151012169819949,1950
"CAM",2050,-0.0111790222864628,-0.0395293700559644,0.0754877401863698,2000
"CAM",2100,-0.00882526610267981,-0.0649765626142256,0.324788748930393,2050
"CAM",2150,0.00164059001656122,-0.0376584282712624,0.133861431822586,2100
"CAM",2200,0.00342929810516987,-0.0333035105711521,0.299416290728785,2150
"CAM",2250,-0.0174625573277645,-0.0457078511873683,0.180562490254549,2200
"CAM",2300,0.10233841967965,0.0334643407889997,0.195610642501048,2250
"CAM",2350,0.263477655947623,0.0926882803500147,0.322716682150489,2300
"CAM",2400,0.141025902754019,0.0307084775630108,0.274046184825265,2350
"CAM",2450,0.0311181851489417,-0.0322601634490345,0.163242592643902,2400
"CAM",2500,0.152694204722904,-0.0296733776393311,0.197932030172562,2450
"CAM",2550,0.422874744240296,0.227210369662361,0.526073877001521,2500
"CAM",2600,0.151719646834598,-0.0104749823211592,0.302396384412935,2550
"CAM",2650,0.283152766736747,0.187662084460823,0.305560253083314,2600
"CAM",2700,0.216878244012912,0.103576342483267,0.379276474832148,2650
"CAM",2750,0.242374874160625,0.196051306586289,0.411757960543678,2700
"CAM",2800,0.188442647866604,0.112995036544505,0.352173547073592,2750
"CAM",2850,-0.012740126743754,-0.0512661083422987,0.0434353872445617,2800
"CAM",2900,0.158073346060523,0.0272696044044993,0.314060458723979,2850
"CAM",2950,0.23678952959368,0.0668167485858533,0.439652890067029,2900
"CAM",3000,0.0561211037667038,-0.024585055495268,0.18816055881102,2950
"CAM",3050,0.107287091365632,0.0393049568849338,0.165787498717736,3000
"CAM",3100,0.0436529548390633,-0.0109964810940043,0.146802453161992,3050
"CAM",3150,0.0734175013919471,0.00578384306571861,0.0939381756592729,3100
"CAM",3200,0.120411120364536,0.0548954441003915,0.121142357052128,3150
"CAM",3250,0.0554318669538377,0.0177986017260305,0.123800002591833,3200
"CAM",3300,0.05761304179522,-0.0275926444158059,0.157092284132937,3250
"CAM",3350,0.0975225471801808,0.0667853066938519,0.149888879452812,3300
"CAM",3400,0.00132667094824926,-0.057478813882112,0.0623620389780193,3350
"CAM",3450,0.0888625469835442,-0.00518982418762022,0.232096153132827,3400
"CAM",3500,0.0940706616211017,0.0231726732228641,0.138989568751476,3450
"CAM",3550,0.0128059140347514,0.0046047312078731,0.135431079971309,3500
"CAM",3600,0.0193098893558488,-0.0318918993455162,0.13491115873262,3550
"CAM",3650,0.0465722745425598,0.0295998640573256,0.17988111051928,3600
"CAM",3700,0.151608935941503,0.0662197990951054,0.190258428685933,3650
